N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
93,한미약품,"243,000","3,500",+1.46%,"2,500","29,933","12,318",14.76,"39,695",37.98,8.75
94,에스디바이오센서,"28,650","1,600",+5.91%,500,"29,587","103,271",14.64,"581,565",2.54,72.47
95,호텔신라,"74,500","1,000",+1.36%,"5,000","29,240","39,248",16.96,"154,583",89.33,4.51
96,현대해상,"32,600",400,+1.24%,500,"29,144","89,400",33.49,"285,422",5.33,8.82
97,쌍용C&E,"5,750",70,+1.23%,100,"28,972","503,860",2.85,"331,106",24.47,11.12
98,현대차2우B,"79,000",200,-0.25%,"5,000","28,824","36,485",60.04,"54,580",3.51,N/A
99,한국금융지주,"51,400",800,+1.58%,"5,000","28,643","55,726",34.20,"210,685",2.16,27.12
100,삼성증권,"31,950",550,+1.75%,"5,000","28,531","89,300",27.01,"202,447",4.07,16.94
101,일진머티리얼즈,"59,900",0,0.00%,500,"27,620","46,111",9.33,"645,718",46.91,7.85
102,제일기획,"23,700",300,+1.28%,200,"27,265","115,041",32.59,"368,958",14.85,15.58
103,씨에스윈드,"64,400","1,500",+2.38%,500,"27,158","42,171",10.61,"171,216",156.31,10.13
104,포스코인터내셔널,"21,700",450,+2.12%,"5,000","26,772","123,375",9.42,"372,536",5.03,10.86
105,현대로템,"24,450",250,+1.03%,"5,000","26,685","109,142",7.53,"1,560,825",31.92,5.01
106,GS리테일,"24,550",150,+0.61%,"1,000","25,708","104,718",7.28,"79,942",3.18,25.58
107,롯데쇼핑,"90,500","1,800",+2.03%,"5,000","25,601","28,289",12.73,"37,553",-22.28,-2.94
108,팬오션,"4,675",5,-0.11%,"1,000","24,991","534,570",16.40,"1,450,547",3.16,17.16
109,한진칼,"37,200","1,850",+5.23%,"2,500","24,835","66,762",16.08,"73,574",3.13,1.11
110,OCI,"102,500","7,700",+8.12%,"5,000","24,446","23,849",11.04,"747,279",3.27,23.93
111,이마트,"86,200","1,200",+1.41%,"5,000","24,029","27,876",27.35,"64,943",1.37,16.25
112,메리츠증권,"3,705",45,+1.23%,"1,000","23,701","639,711",14.15,"1,355,502",3.24,15.77
113,신세계,"233,000","4,000",+1.75%,"5,000","22,939","9,845",27.82,"54,305",5.67,8.54
